,name,link
202,Пахомова Лариса Михайловна,https://www.hse.ru/org/persons/202133
203,Пермякова Татьяна Михайловна,https://www.hse.ru/org/persons/202193
204,Пестова Екатерина Львовна,https://www.hse.ru/org/persons/28126769
205,Петрова Елена Алексеевна,https://www.hse.ru/org/persons/25871031
206,Пигалев Егор Александрович,https://www.hse.ru/org/persons/137327360
207,Пинаев Константин Викторович,https://www.hse.ru/org/persons/225219029
208,Плаксин Михаил Александрович,https://www.hse.ru/org/persons/4200771
209,Плотникова Евгения Григорьевна,https://www.hse.ru/org/persons/202324
210,Плюснин Юрий Михайлович,https://www.hse.ru/org/persons/139849
211,Плюснина Любовь Михайловна,https://www.hse.ru/org/persons/310770773
212,Подледнов Денис Дмитриевич,https://www.hse.ru/org/persons/306946018
213,Поздеева Екатерина Владимировна,https://www.hse.ru/org/persons/202196
214,Полосухина Марина Васильевна,https://www.hse.ru/org/persons/202262
215,Полшков Александр Владимирович,https://www.hse.ru/org/persons/4013448
216,Помелова Ксения Сергеевна,https://www.hse.ru/org/persons/139492691
217,Пономарева Ксения Васильевна,https://www.hse.ru/org/persons/26335399
218,Попова Татьяна Владимировна,https://www.hse.ru/org/persons/64619473
219,Потапов Дмитрий Борисович,https://www.hse.ru/staff/dbpotapov
220,Прасол Алла Брониславовна,https://www.hse.ru/org/persons/202369
221,Пуппе Клеменс Дитер,https://www.hse.ru/org/persons/351802892
222,Рабко Сергей Николаевич,https://www.hse.ru/org/persons/45398391
223,Радионова Марина Владимировна,https://www.hse.ru/org/persons/202336
224,Ратт Татьяна Андреевна,https://www.hse.ru/org/persons/27272016
225,Рачева Ирина Александровна,https://www.hse.ru/org/persons/202199
226,Редькина Анастасия Юрьевна,https://www.hse.ru/org/persons/202452
227,Ремизова Вероника Германовна,https://www.hse.ru/org/persons/307095098
228,Роженцова Елена Владимировна,https://www.hse.ru/staff/rozhentsovaEV
229,Ромашов Павел Андреевич,https://www.hse.ru/org/persons/97726733
